pose_x,pose_y,pose_z,orientation_x,orientation_y,orientation_z,orientation_w,steering_tire_angle,steering_tire_rotation_rate,acceleration,speed,jerk
0.914876,-0.455106,0.0,0.0,0.0,-0.223717,0.974654,0.183362,0.0,0.592228,5.444688,0.0
0.9256,-0.460833,0.0,0.0,0.0,-0.221593,0.975139,0.188455,0.0,0.594081,5.45434,0.0
0.935674,-0.466213,0.0,0.0,0.0,-0.219597,0.975591,0.188455,0.0,0.594081,5.45434,0.0
0.935674,-0.466213,0.0,0.0,0.0,-0.219597,0.975591,0.190991,0.0,0.595219,5.469431,0.0
0.948325,-0.47297,0.0,0.0,0.0,-0.217089,0.976152,0.190991,0.0,0.595219,5.469431,0.0
0.975176,-0.484508,0.0,0.0,0.0,-0.210604,0.977571,0.190991,0.0,0.595219,5.469431,0.0
0.983674,-0.488807,0.0,0.0,0.0,-0.208793,0.97796,0.190991,0.0,0.595219,5.469431,0.0
1.000922,-0.497533,0.0,0.0,0.0,-0.205117,0.978737,0.190991,0.0,0.595219,5.469431,0.0
1.015519,-0.503812,0.0,0.0,0.0,-0.198926,0.980015,0.190991,0.0,0.595219,5.469431,0.0
1.032069,-0.511755,0.0,0.0,0.0,-0.195193,0.980765,0.190991,0.0,0.595219,5.469431,0.0
1.106233,-0.546024,0.0,0.0,0.0,-0.176318,0.984333,0.188969,0.0,0.592187,5.482676,0.0
1.118066,-0.555041,0.0,0.0,0.0,-0.17223,0.985057,0.1885,0.0,0.594409,5.491382,0.0
1.129548,-0.559836,0.0,0.0,0.0,-0.169459,0.985537,0.1885,0.0,0.594409,5.491382,0.0
1.129548,-0.559836,0.0,0.0,0.0,-0.169459,0.985537,0.189699,0.0,0.5939,5.502482,0.0
1.142669,-0.565315,0.0,0.0,0.0,-0.166291,0.986077,0.189699,0.0,0.5939,5.502482,0.0
1.156441,-0.571066,0.0,0.0,0.0,-0.162964,0.986632,0.189699,0.0,0.5939,5.502482,0.0
1.160641,-0.57282,0.0,0.0,0.0,-0.161949,0.986799,0.189699,0.0,0.5939,5.502482,0.0
1.187165,-0.581424,0.0,0.0,0.0,-0.154741,0.987955,0.189125,0.0,0.595477,5.51322,0.0
1.197353,-0.585339,0.0,0.0,0.0,-0.152247,0.988343,0.189125,0.0,0.595477,5.51322,0.0
1.229902,-0.600838,0.0,0.0,0.0,-0.141739,0.989904,0.185442,0.0,0.594373,5.521841,0.0
1.252525,-0.608793,0.0,0.0,0.0,-0.13621,0.99068,0.185442,0.0,0.594373,5.521841,0.0
1.27068,-0.615177,0.0,0.0,0.0,-0.13177,0.99128,0.184964,0.0,0.594962,5.524587,0.0
1.27068,-0.615177,0.0,0.0,0.0,-0.13177,0.99128,0.18229,0.0,0.590754,5.533435,0.0
1.302905,-0.624085,0.0,0.0,0.0,-0.124358,0.992237,0.18229,0.0,0.590754,5.533435,0.0
1.309968,-0.626326,0.0,0.0,0.0,-0.122644,0.992451,0.179216,0.0,0.594848,5.544824,0.0
1.384525,-0.652893,0.0,0.0,0.0,-0.106026,0.994363,0.174899,0.0,0.595017,5.555083,0.0
1.403381,-0.658265,0.0,0.0,0.0,-0.101507,0.994835,0.174899,0.0,0.595017,5.555083,0.0
1.406208,-0.659071,0.0,0.0,0.0,-0.10083,0.994904,0.174741,0.0,0.595457,5.567695,0.0
1.435368,-0.663139,0.0,0.0,0.0,-0.094287,0.995545,0.169912,0.0,0.594783,5.580122,0.0
1.513003,-0.681213,0.0,0.0,0.0,-0.077281,0.997009,0.163094,0.0,0.595722,5.588652,0.0
1.513003,-0.681213,0.0,0.0,0.0,-0.077281,0.997009,0.161395,0.0,0.59511,5.591808,0.0
1.534304,-0.68592,0.0,0.0,0.0,-0.072435,0.997373,0.161395,0.0,0.59511,5.591808,0.0
1.536639,-0.686436,0.0,0.0,0.0,-0.071903,0.997412,0.161395,0.0,0.59511,5.591808,0.0
1.572207,-0.693809,0.0,0.0,0.0,-0.064692,0.997905,0.149277,0.0,0.596702,5.614769,0.0
1.591195,-0.697872,0.0,0.0,0.0,-0.061548,0.998104,0.149277,0.0,0.596702,5.614769,0.0
1.623734,-0.704025,0.0,0.0,0.0,-0.054391,0.99852,0.149277,0.0,0.596702,5.614769,0.0
1.633622,-0.706517,0.0,0.0,0.0,-0.05339,0.998574,0.142819,0.0,0.597152,5.629643,0.0
1.659895,-0.710659,0.0,0.0,0.0,-0.047833,0.998855,0.142819,0.0,0.597152,5.629643,0.0
1.678826,-0.713644,0.0,0.0,0.0,-0.043828,0.999039,0.142819,0.0,0.597152,5.629643,0.0
1.678826,-0.713644,0.0,0.0,0.0,-0.043828,0.999039,0.137728,0.0,0.59321,5.640654,0.0
1.69701,-0.716511,0.0,0.0,0.0,-0.03998,0.9992,0.137728,0.0,0.59321,5.640654,0.0
1.721813,-0.717721,0.0,0.0,0.0,-0.035957,0.999353,0.129205,0.0,0.595751,5.652321,0.0
1.72973,-0.718743,0.0,0.0,0.0,-0.034356,0.99941,0.129205,0.0,0.595751,5.652321,0.0
1.768685,-0.724723,0.0,0.0,0.0,-0.028221,0.999602,0.120532,0.0,0.595955,5.663405,0.0
1.798716,-0.727724,0.0,0.0,0.0,-0.022498,0.999747,0.120532,0.0,0.595955,5.663405,0.0
1.878833,-0.738891,0.0,0.0,0.0,-0.010681,0.999943,0.108292,0.0,0.594502,5.683,0.0
1.912822,-0.741379,0.0,0.0,0.0,-0.004631,0.999989,0.108292,0.0,0.594502,5.683,0.0
1.924125,-0.741917,0.0,0.0,0.0,-0.004641,0.999989,0.099488,0.0,0.59719,5.702933,0.0
1.939538,-0.742648,0.0,0.0,0.0,-0.002106,0.999998,0.099488,0.0,0.59719,5.702933,0.0
